iter	Passed	Remaining
0	6	616
1	12	599
2	18	590
3	23	573
4	30	575
5	36	573
6	42	568
7	48	562
8	55	561
9	61	553
10	67	548
11	74	543
12	80	542
13	87	537
14	94	534
15	100	528
16	107	522
17	113	516
18	119	511
19	129	519
20	138	520
21	147	524
22	156	525
23	166	526
24	175	525
25	184	525
26	193	523
27	202	521
28	211	518
29	220	514
30	229	511
31	238	506
32	247	502
33	256	498
34	265	493
35	274	487
36	280	478
37	287	468
38	294	459
39	302	453
40	309	445
41	312	431
42	320	424
43	326	416
44	333	407
45	340	399
46	348	392
47	355	385
48	362	377
49	369	369
50	377	362
51	384	354
52	391	346
53	397	339
54	402	329
55	409	321
56	415	313
57	422	306
58	429	298
59	435	290
60	441	282
61	448	274
62	454	267
63	461	259
64	468	252
65	474	244
66	481	237
67	488	229
68	495	222
69	502	215
70	509	208
71	516	200
72	523	193
73	530	186
74	537	179
75	543	171
76	551	164
77	558	157
78	566	150
79	574	143
80	582	136
81	589	129
82	598	122
83	606	115
84	613	108
85	621	101
86	628	93
87	636	86
88	643	79
89	651	72
90	658	65
91	665	57
92	673	50
93	680	43
94	687	36
95	695	28
96	702	21
97	713	14
98	724	7
99	734	0
