iter	Passed	Remaining
0	153	153190
1	173	86698
2	192	64066
3	203	50697
4	210	41936
5	216	35873
6	222	31581
7	227	28186
8	232	25557
9	236	23427
10	241	21668
11	245	20198
12	249	18969
13	254	17916
14	258	17001
15	264	16251
16	268	15537
17	273	14901
18	277	14342
19	282	13828
20	286	13369
21	291	12963
22	296	12576
23	300	12220
24	304	11892
25	309	11590
26	313	11314
27	319	11088
28	324	10852
29	328	10632
30	334	10456
31	339	10272
32	344	10106
33	349	9940
34	355	9794
35	360	9653
36	366	9529
37	372	9419
38	379	9355
39	385	9261
40	392	9169
41	397	9060
42	402	8953
43	407	8854
44	413	8771
45	419	8699
46	425	8618
47	430	8532
48	435	8458
49	441	8380
50	446	8314
51	451	8229
52	456	8165
53	464	8144
54	469	8071
55	475	8020
56	481	7966
57	487	7922
58	492	7860
59	498	7802
60	503	7744
61	507	7685
62	512	7624
63	518	7578
64	523	7529
65	528	7476
66	534	7437
67	538	7384
68	543	7333
69	548	7286
70	553	7236
71	557	7188
72	562	7144
73	567	7099
74	571	7053
75	577	7018
76	581	6975
77	586	6936
78	592	6907
79	597	6873
80	602	6835
81	607	6797
82	609	6734
83	614	6699
84	619	6667
85	624	6633
86	628	6599
87	633	6568
88	638	6535
89	643	6503
90	648	6473
91	652	6442
92	657	6413
93	662	6386
94	667	6357
95	672	6332
96	677	6304
97	681	6275
98	686	6250
99	691	6223
100	696	6197
101	701	6172
102	705	6147
103	710	6121
104	715	6099
105	720	6078
106	725	6054
107	730	6035
108	735	6012
109	740	5989
110	745	5968
111	749	5945
112	754	5924
113	759	5904
114	764	5882
115	769	5860
116	773	5838
117	778	5816
118	782	5796
119	788	5781
120	793	5761
121	796	5734
122	802	5720
123	806	5700
124	811	5681
125	817	5668
126	821	5644
127	825	5626
128	831	5613
129	836	5595
130	840	5577
131	846	5567
132	851	5550
133	856	5533
134	861	5517
135	865	5500
136	870	5484
137	875	5467
138	880	5451
139	885	5436
140	890	5422
141	893	5398
142	898	5382
143	903	5368
144	907	5352
145	912	5337
146	917	5322
147	922	5309
